ZIP,City,County,Type
43441,Lemoyne,Wood,P.O. Box
43442,Lindsey,Sandusky,Standard
43443,Luckey,Wood,Standard
43445,Martin,Ottawa,Standard
43446,Middle Bass,Ottawa,P.O. Box
43447,Millbury,Wood,Standard
43449,Oak Harbor,Ottawa,Standard
43450,Pemberville,Wood,Standard
43451,Portage,Wood,Standard
43452,Port Clinton,Ottawa,Standard
43456,Put In Bay,Ottawa,P.O. Box
43457,Risingsun,Wood,Standard
43458,Rocky Ridge,Ottawa,P.O. Box
43460,Rossford,Wood,Standard
43462,Rudolph,Wood,Standard
43463,Stony Ridge,Wood,P.O. Box
43464,Vickery,Sandusky,Standard
43465,Walbridge,Wood,Standard
43466,Wayne,Wood,Standard
43467,West Millgrove,Wood,P.O. Box
43468,Williston,Ottawa,P.O. Box
43469,Woodville,Sandusky,Standard
43501,Alvordton,Williams,Standard
43502,Archbold,Fulton,Standard
43504,Berkey,Lucas,Standard
43505,Blakeslee,Williams,P.O. Box
43506,Bryan,Williams,Standard
43510,Colton,Henry,P.O. Box
43511,Custar,Wood,Standard
43512,Defiance,Defiance,Standard
43515,Delta,Fulton,Standard
43516,Deshler,Henry,Standard
43517,Edgerton,Williams,Standard
43518,Edon,Williams,Standard
43519,Evansport,Defiance,P.O. Box
43520,Farmer,Defiance,P.O. Box
43521,Fayette,Fulton,Standard
43522,Grand Rapids,Wood,Standard
43523,Grelton,Henry,P.O. Box
43524,Hamler,Henry,Standard
43525,Haskins,Wood,Standard
43526,Hicksville,Defiance,Standard
43527,Holgate,Henry,Standard
43528,Holland,Lucas,Standard
43529,Hoytville,Wood,P.O. Box
43530,Jewell,Defiance,P.O. Box
43531,Kunkle,Williams,P.O. Box
43532,Liberty Center,Henry,Standard
43533,Lyons,Fulton,Standard
43534,Mc Clure,Henry,Standard
43535,Malinta,Henry,Standard
43536,Mark Center,Defiance,Standard
43537,Maumee,Lucas,Standard
43540,Metamora,Fulton,Standard
43541,Milton Center,Wood,Standard
43542,Monclova,Lucas,Standard
43543,Montpelier,Williams,Standard
43545,Napoleon,Henry,Standard
43547,Neapolis,Lucas,P.O. Box
43548,New Bavaria,Henry,Standard
43549,Ney,Defiance,Standard
43550,Okolona,Henry,P.O. Box
43551,Perrysburg,Wood,Standard
43552,Perrysburg,Wood,P.O. Box
43553,Pettisville,Fulton,P.O. Box
43554,Pioneer,Williams,Standard
43555,Ridgeville Corners,Henry,P.O. Box
43556,Sherwood,Defiance,Standard
43557,Stryker,Williams,Standard
43558,Swanton,Fulton,Standard
43560,Sylvania,Lucas,Standard
43565,Tontogany,Wood,P.O. Box
43566,Waterville,Lucas,Standard
43567,Wauseon,Fulton,Standard
43569,Weston,Wood,Standard
43570,West Unity,Williams,Standard
43571,Whitehouse,Lucas,Standard
43601,Toledo,Lucas,Standard
43603,Toledo,Lucas,P.O. Box
43604,Toledo,Lucas,Standard
43605,Toledo,Lucas,Standard
43606,Toledo,Lucas,Standard
43607,Toledo,Lucas,Standard
43608,Toledo,Lucas,Standard
43609,Toledo,Lucas,Standard
43610,Toledo,Lucas,Standard
43611,Toledo,Lucas,Standard
43612,Toledo,Lucas,Standard
43613,Toledo,Lucas,Standard
43614,Toledo,Lucas,Standard
43615,Toledo,Lucas,Standard
43616,Oregon,Lucas,Standard
43617,Toledo,Lucas,Standard
43619,Northwood,Wood,Standard
43620,Toledo,Lucas,Standard
43623,Toledo,Lucas,Standard
43635,Toledo,Lucas,P.O. Box
43652,Toledo,Lucas,Unique
43654,Toledo,Wood,Unique
43656,Toledo,Lucas,Unique
43657,Toledo,Lucas,Unique
43659,Toledo,Lucas,Unique
43660,Toledo,Lucas,Unique
43661,Toledo,Lucas,Unique
43666,Toledo,Lucas,Unique
43667,Toledo,Lucas,Unique
43681,Toledo,Lucas,Unique
43682,Toledo,Lucas,Unique
43697,Toledo,Lucas,P.O. Box
43699,Toledo,Lucas,P.O. Box
43701,Zanesville,Muskingum,Standard
43702,Zanesville,Muskingum,P.O. Box
43711,Ava,Noble,P.O. Box
43713,Barnesville,Belmont,Standard
43716,Beallsville,Monroe,Standard
43717,Belle Valley,Noble,P.O. Box
43718,Belmont,Belmont,Standard
43719,Bethesda,Belmont,Standard
43720,Blue Rock,Muskingum,Standard
43721,Brownsville,Licking,P.O. Box
43722,Buffalo,Guernsey,P.O. Box
43723,Byesville,Guernsey,Standard
43724,Caldwell,Noble,Standard
43725,Cambridge,Guernsey,Standard
43727,Chandlersville,Muskingum,Standard
43728,Chesterhill,Morgan,Standard
43730,Corning,Perry,Standard
43731,Crooksville,Perry,Standard
43732,Cumberland,Guernsey,Standard
43733,Derwent,Guernsey,P.O. Box
43734,Duncan Falls,Muskingum,Standard
43735,East Fultonham,Muskingum,P.O. Box
43736,Fairview,Guernsey,P.O. Box
43738,Fultonham,Muskingum,P.O. Box
43739,Glenford,Perry,Standard
43740,Gratiot,Licking,P.O. Box
43746,Hopewell,Muskingum,Standard
43747,Jerusalem,Monroe,Standard
43748,Junction City,Perry,Standard
43749,Kimbolton,Guernsey,Standard
43750,Kipling,Guernsey,P.O. Box
43752,Laings,Monroe,P.O. Box
43754,Lewisville,Monroe,Standard
43755,Lore City,Guernsey,Standard
43756,Mcconnelsville,Morgan,Standard
43757,Malaga,Monroe,P.O. Box
43758,Malta,Morgan,Standard
43759,Morristown,Belmont,P.O. Box
43760,Mount Perry,Perry,Standard
43761,Moxahala,Perry,P.O. Box
43762,New Concord,Muskingum,Standard
43764,New Lexington,Perry,Standard
43766,New Straitsville,Perry,Standard
43767,Norwich,Muskingum,Standard
43768,Old Washington,Guernsey,P.O. Box
43771,Philo,Muskingum,Standard
43772,Pleasant City,Guernsey,Standard
43773,Quaker City,Guernsey,Standard
43777,Roseville,Muskingum,Standard
43778,Salesville,Guernsey,Standard
43779,Sarahsville,Noble,Standard
43780,Senecaville,Guernsey,Standard
43782,Shawnee,Perry,Standard
43783,Somerset,Perry,Standard
43786,Stafford,Monroe,P.O. Box
43787,Stockport,Morgan,Standard
43788,Summerfield,Noble,Standard
43791,White Cottage,Muskingum,P.O. Box
43793,Woodsfield,Monroe,Standard
43802,Adamsville,Muskingum,Standard
43803,Bakersville,Coshocton,P.O. Box
43804,Baltic,Tuscarawas,Standard
43805,Blissfield,Coshocton,P.O. Box
43811,Conesville,Coshocton,Standard
43812,Coshocton,Coshocton,Standard
43821,Dresden,Muskingum,Standard
43822,Frazeysburg,Muskingum,Standard
43824,Fresno,Coshocton,Standard
43828,Keene,Coshocton,P.O. Box
43830,Nashport,Muskingum,Standard
43832,Newcomerstown,Tuscarawas,Standard
43836,Plainfield,Coshocton,P.O. Box
43837,Port Washington,Tuscarawas,Standard
43840,Stone Creek,Tuscarawas,Standard
43842,Trinway,Muskingum,P.O. Box
43843,Walhonding,Coshocton,Standard
43844,Warsaw,Coshocton,Standard
43845,West Lafayette,Coshocton,Standard
43901,Adena,Jefferson,Standard
43902,Alledonia,Belmont,Standard
43903,Amsterdam,Jefferson,Standard
43905,Barton,Belmont,P.O. Box
43906,Bellaire,Belmont,Standard
43907,Cadiz,Harrison,Standard
43908,Bergholz,Jefferson,Standard
43909,Blaine,Belmont,P.O. Box
43910,Bloomingdale,Jefferson,Standard
43912,Bridgeport,Belmont,Standard
43913,Brilliant,Jefferson,Standard
43914,Cameron,Monroe,P.O. Box
43915,Clarington,Monroe,Standard
43916,Colerain,Belmont,P.O. Box
43917,Dillonvale,Jefferson,Standard
43920,East Liverpool,Columbiana,Standard
43925,East Springfield,Jefferson,P.O. Box
43926,Empire,Jefferson,P.O. Box
43927,Fairpoint,Belmont,P.O. Box
43928,Glencoe,Belmont,P.O. Box
43930,Hammondsville,Jefferson,Standard
43931,Hannibal,Monroe,P.O. Box
43932,Irondale,Jefferson,Standard
43933,Jacobsburg,Belmont,Standard
43934,Lansing,Belmont,P.O. Box
43935,Martins Ferry,Belmont,Standard
43937,Maynard,Belmont,P.O. Box
43938,Mingo Junction,Jefferson,Standard
43939,Mount Pleasant,Jefferson,P.O. Box
43940,Neffs,Belmont,P.O. Box
43941,Piney Fork,Jefferson,P.O. Box
43942,Powhatan Point,Belmont,Standard
43943,Rayland,Jefferson,Standard
43944,Richmond,Jefferson,Standard
43945,Salineville,Columbiana,Standard
43946,Sardis,Monroe,Standard
43947,Shadyside,Belmont,Standard
43948,Smithfield,Jefferson,P.O. Box
43950,Saint Clairsville,Belmont,Standard
43951,Lafferty,Belmont,P.O. Box
43952,Steubenville,Jefferson,Standard
43953,Steubenville,Jefferson,Standard
43961,Stratton,Jefferson,P.O. Box
43962,Summitville,Columbiana,P.O. Box
43963,Tiltonsville,Jefferson,Standard
43964,Toronto,Jefferson,Standard
43967,Warnock,Belmont,P.O. Box
43968,Wellsville,Columbiana,Standard
43970,Wolf Run,Jefferson,P.O. Box
43971,Yorkville,Jefferson,Standard
43972,Bannock,Belmont,P.O. Box
43973,Freeport,Harrison,Standard
43974,Harrisville,Harrison,P.O. Box
43976,Hopedale,Harrison,Standard
43977,Flushing,Belmont,Standard
43981,New Athens,Harrison,P.O. Box
43983,Piedmont,Belmont,Standard
43984,New Rumley,Harrison,P.O. Box
43985,Holloway,Belmont,P.O. Box
43986,Jewett,Harrison,Standard
43988,Scio,Harrison,Standard
44001,Amherst,Lorain,Standard
44003,Andover,Ashtabula,Standard
44004,Ashtabula,Ashtabula,Standard
44005,Ashtabula,Ashtabula,P.O. Box
44010,Austinburg,Ashtabula,Standard
44011,Avon,Lorain,Standard
44012,Avon Lake,Lorain,Standard
44017,Berea,Cuyahoga,Standard
44021,Burton,Geauga,Standard
44022,Chagrin Falls,Cuyahoga,Standard
44023,Chagrin Falls,Geauga,Standard
44024,Chardon,Geauga,Standard
44026,Chesterland,Geauga,Standard
44028,Columbia Station,Lorain,Standard
44030,Conneaut,Ashtabula,Standard
44032,Dorset,Ashtabula,Standard
44033,East Claridon,Geauga,P.O. Box
44035,Elyria,Lorain,Standard
44036,Elyria,Lorain,P.O. Box
44039,North Ridgeville,Lorain,Standard
44040,Gates Mills,Cuyahoga,Standard
44041,Geneva,Ashtabula,Standard
44044,Grafton,Lorain,Standard
44045,Grand River,Lake,P.O. Box
44046,Huntsburg,Geauga,Standard
44047,Jefferson,Ashtabula,Standard
44048,Kingsville,Ashtabula,Standard
44049,Kipton,Lorain,P.O. Box
44050,Lagrange,Lorain,Standard
44052,Lorain,Lorain,Standard
